#{"t_start": 1705046947.592046, "env_id": "match3-wide-v0"}
r,l,t
150,79,7059.120424
300,23,7063.413889
200,27,7063.81826
250,28,7064.199412
400,18,7064.494495
200,16,7064.734997
550,28,7065.158215
350,47,7069.62548
300,33,7070.185805
400,70,7075.025916
550,26,7075.358281
200,21,7075.656739
300,65,7076.640125
450,45,7081.057143
350,24,7081.47211
550,208,7092.253524
450,20,7092.570577
300,34,7093.044075
400,24,7093.374425
350,43,7097.803568
400,30,7098.232255
400,28,7098.602121
550,610,7126.306807
350,17,7126.592577
350,16,7126.840244
200,31,7127.28204
400,49,7131.786776
50,31,7132.237497
500,19,7132.534629
250,24,7132.862277
450,174,7143.025292
250,38,7143.550335
250,28,7144.000788
300,15,7144.242547
150,84,7149.332299
250,80,7154.267353
250,15,7154.51123
400,34,7154.979959
200,37,7155.574583
550,20,7155.886423
350,76,7160.707578
350,18,7160.974213
300,19,7161.230314
200,40,7165.565361
350,29,7165.99431
500,56,7166.762539
450,33,7171.048549
300,30,7171.507114
400,26,7171.826595
400,22,7172.20937
400,17,7172.416601
200,20,7172.713298
400,32,7176.944395
250,34,7177.497453
300,31,7177.922354
600,26,7178.320554
350,73,7183.131133
100,32,7183.596699
100,20,7183.874462
200,58,7188.526494
300,20,7188.8049
300,32,7189.233425
250,71,7193.975639
350,44,7194.59729
550,24,7194.921805
300,18,7195.195406
200,26,7199.356037
300,58,7200.227086
300,17,7200.481265
250,45,7204.876616
300,16,7205.116196
400,25,7205.480688
200,39,7206.024117
500,17,7206.280259
350,24,7210.426863
500,55,7211.268497
400,51,7211.971479
350,74,7216.85694
200,20,7217.133346
